2026-05-17 21:01:07 [INFO] Logging initialized: E:\TorBox_Manager\TorBox_Manager_Log.txt
2026-05-17 21:01:07 [INFO] TorBox Manager EchoStorm Edition v0.4.0 starting
2026-05-17 21:01:07 [INFO] Config loaded — api_key: set, download_dir: 'C:/Users/Echostorm/Downloads', poll_interval: 30s
2026-05-17 21:01:09 [INFO] MainWindow shown — entering event loop
2026-05-17 21:01:09 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:01:09 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:01:09 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:01:10 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:01:10 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:01:11 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:01:22 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:01:23 [DEBUG] https://api.torbox.app:443 "POST /v1/api/torrents/createtorrent HTTP/1.1" 200 None
2026-05-17 21:01:27 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:01:28 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:01:28 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:01:28 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:01:28 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:01:28 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:01:33 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:01:33 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:01:34 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/requestdl?token=a6525d5a-3ce5-484e-985d-fc9b98fdf797&torrent_id=28348376&file_id=0 HTTP/1.1" 200 None
2026-05-17 21:01:34 [DEBUG] Starting new HTTPS connection (1): nexus-091.cnam.tb-cdn.io:443
2026-05-17 21:01:34 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:01:34 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:01:34 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:01:34 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:01:35 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:01:35 [DEBUG] https://nexus-091.cnam.tb-cdn.io:443 "GET /dld/b76cb434-8b9e-47a9-8283-1c1ded2bffb3?token=a6525d5a-3ce5-484e-985d-fc9b98fdf797 HTTP/1.1" 200 213712095
2026-05-17 21:01:38 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:01:41 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:01:41 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:01:43 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:01:43 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:01:43 [DEBUG] https://api.torbox.app:443 "GET /v1/api/usenet/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:02:08 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:02:10 [DEBUG] https://api.torbox.app:443 "GET /v1/api/torrents/mylist?bypass_cache=true HTTP/1.1" 200 None
2026-05-17 21:02:10 [DEBUG] Starting new HTTPS connection (1): api.torbox.app:443
2026-05-17 21:02:10 [DEBUG] https://api.torbox.app:443 "GET /v1/api/webdl/mylist?bypass_cache=true HTTP/1.1" 200 None
